Lot No.,Vendor,Item Description,Reserve
91,8964646862061568,Ucrego,"$3,734.57"
92,1.66804E+15,Jedwoiru,"$3,824.24"
93,5416976711155712,Feiweset,$371.19
94,6223947662098432,Bipifgi,"$9,146.74"
95,6838674517917696,Vandocvum,"$5,472.74"
96,3.20193E+15,Eleotivi,"$4,895.54"
97,8823427760652288,Hekuhahid,"$4,540.42"
98,2.56865E+15,Unuvivoc,"$2,999.69"
99,6188982601777152,Etuvocabe,"$9,747.09"
100,612876922388480,Lecdofnig,"$2,787.32"
101,8127763118555136,Cumwojame,$797.36
102,7803080022163456,Suzvoma,"$8,704.00"
103,3080202798235648,Oterouva,"$6,201.32"
104,8280833070727168,Hokimgoc,"$5,888.69"
105,257139696205824,Surruwow,"$4,456.84"
106,2655864779440128,Ownalfe,$244.77
107,975699506626560,Hakgipsul,"$6,559.15"
108,6842440627519488,Evpevu,"$9,749.97"
109,392061977100288,Dusojak,"$6,354.98"
110,6926157576404992,Venagvu,$97.01
111,7431114796826624,Pananfa,"$3,878.16"
112,5967869164650496,Efecosmeh,"$4,420.69"
113,6728627074891776,Zojipji,"$7,042.12"
114,7.02461E+15,Ecohuto,"$4,162.29"
115,4229927050149888,Zufife,"$9,596.60"
116,1740329214541824,Inofafe,"$8,761.63"
117,4543978726752256,Surharog,"$4,304.75"
118,5426418735382528,Esotned,"$3,371.55"
119,1140433319100416,Tanebo,"$2,215.32"
120,4.33805E+15,Hemolit,"$4,298.06"
121,2.09853E+15,Rirefa,"$3,935.99"
122,6327077177393152,Idiwadbup,"$5,849.98"
123,1958912957874176,Vatfifin,"$5,182.43"
124,2148929342799872,Hoswubwa,"$9,503.27"
125,1682278419791872,Suojeep,"$6,962.58"
126,2128728006066176,Binanac,"$4,908.22"
127,2.67996E+15,Lavuvuig,"$9,922.74"
128,8.17566E+15,Macwedu,"$7,896.11"
129,3767259577188352,Usjido,"$3,371.40"
130,2538693629837312,Inbuklu,"$4,654.10"
131,947231567904768,Rekeguf,"$8,950.23"
132,6279214495956992,Hubjakow,"$4,253.16"
133,2054759978631168,Feppeditu,$85.44
134,2747900528427008,Iradezlo,"$3,799.57"
135,5121096990851072,Kedcacot,"$1,101.83"
136,2954841829670912,Zilivoas,"$8,667.81"
137,8681518744469504,Pasomca,"$8,106.31"
138,2924869528322048,Sutheno,"$2,026.86"
139,4999547891744768,Tahebiti,"$6,762.56"
140,8558149273387008,Rezujeta,$73.40
141,3.8963E+15,Juflakwok,"$8,448.16"
142,3189127614824448,Zozkivke,"$6,655.90"
143,1640754959089664,Mecurwuv,"$5,243.79"
144,2816463314354176,Cipninu,"$2,730.35"
145,6218600633335808,Rifruho,"$9,539.90"
146,2754163425411072,Huzjodnur,"$2,192.79"
147,179497810788352,Gowopage,"$5,938.26"
148,2648683348754432,Hovetisu,"$9,240.72"
149,293037911572480,Zajamuruz,"$3,453.09"
150,3.64722E+15,Migrafca,"$2,188.42"
151,5955401514221568,Measivin,"$3,170.05"
152,4589409196310528,Zubebehut,$726.52
153,1564713592815616,Vilrehwuk,"$1,803.77"
154,1811966200905728,Jehumec,"$3,093.87"
155,7853068928417792,Zofowuna,"$9,576.49"
156,8.73407E+15,Sunigir,"$8,095.63"
157,3746467378364416,Wevibe,"$2,365.06"
158,6507079405666304,Zehmukrul,"$8,689.72"
159,2.37069E+15,Dudsaja,"$7,809.20"
160,513288341291008,Igjifvo,"$7,548.47"
161,2228706598715392,Tumupe,"$6,023.93"
162,6643171454877696,Gohutfub,"$6,557.37"
163,1006534072991744,Hupgandid,"$8,865.92"
164,7128145280892928,Zegmevo,"$4,953.07"
165,5427787651350528,Jucwunced,"$6,494.52"
166,572853636300800,Hotuwlow,"$5,694.51"
167,4975448834441216,Uslukkud,"$6,117.02"
168,2364188139716608,Lenjohac,$899.22
169,7615645648683008,Sovregsa,"$5,950.48"
170,8890351389507584,Obupogev,"$5,664.40"
171,3174163592249344,Nafdebo,"$9,918.35"
172,5586439219707904,Kahzirwo,"$8,423.62"
173,5654330896023552,Ewhapec,"$7,025.21"
174,2354915777183744,Sebudfo,"$6,775.89"
175,7056306110201856,Zapacoah,"$2,109.64"
176,401541068488704,Pologu,"$7,322.27"
177,3963130585546752,Dusmobur,"$2,118.67"
178,8860295292256256,Ziomca,"$9,079.46"
179,4067097445400576,Necure,"$7,566.66"
180,993470407770112,Jahzajij,"$7,101.16"
181,3931454421598208,Nivpezo,"$1,198.52"
182,7.53736E+15,Pozzujka,"$4,740.15"
183,1.50365E+15,Pujabpo,"$2,162.40"
184,3727489849360384,Hiopiba,"$3,322.69"
185,5346686058627072,Sanobgo,"$5,405.79"
186,6697507214065664,Efepudub,"$7,002.10"
187,2580737391853568,Detowa,"$1,433.95"
188,2344225240776704,Cownojeku,"$9,805.15"
189,7705762576990208,Waotuen,"$3,308.20"
190,5648822642409472,Nowjavgar,"$9,022.30"
191,4746486017425408,Lofezut,"$2,519.56"
192,8942591364038656,Ufegenuc,"$7,896.99"
193,4943737639665664,Upgugfa,"$3,947.99"
194,39515127283712,Bazazbuv,"$7,640.46"
195,6539237732122624,Wocujlaj,"$2,897.24"
196,2429703476477952,Juceduw,"$7,815.18"
197,8117570724954112,Pogpahah,"$7,495.84"
198,3091576811159552,Jazacu,"$5,112.63"
199,8050444563644416,Ojkugwe,"$7,643.13"
200,6.60458E+15,Juvwioj,"$9,497.02"
201,1536032457621504,Sibzumte,"$8,897.81"
202,5060558225145856,Ebfepa,$776.25
203,6011643186118656,Ekudoen,$418.02
204,3037168660381696,Foldeat,"$7,571.71"
205,5643340112461824,Muhaare,"$4,588.25"
206,7699847920484352,Wavhufo,"$8,168.59"
207,4317289270738944,Waugotum,$815.90
208,1.29952E+15,Duguvufo,"$6,648.07"
209,187644084486144,Ugacafpah,"$6,476.10"
210,8807869916905472,Adupulmo,$583.81
211,5266522733805568,Zetewoje,"$3,827.64"
212,4.18284E+15,Wubovde,"$6,595.54"
213,2.54614E+15,Pomsorhu,"$5,770.09"
214,4516793198575616,Vodjinvic,"$1,732.85"
215,7662413606289408,Efcufat,$108.78
216,7.27151E+15,Omluchu,"$5,106.32"
217,1604988495200256,Reftiso,"$9,274.85"
218,1062116370939904,Johivse,"$7,925.60"
219,5815559256014848,Ozizuala,"$6,630.57"
220,854454247096320,Kowmuhbos,"$4,306.58"
221,8.46324E+15,Guzdohus,"$7,658.70"
222,1762613323104256,Umnedigi,"$8,870.65"
223,7.15152E+15,Wowebga,"$5,569.21"
224,8420527536340992,Hijeccap,"$7,653.73"
225,6327120445833216,Kuekowik,"$3,721.75"
226,981026866200576,Mukjujil,"$4,383.45"
227,8418713332088832,Hicokiru,"$7,061.99"
228,989679493054464,Onekotpud,"$1,419.81"
229,1272343078895616,Kalojo,"$4,140.50"
230,7356986767179776,Jebewfus,"$3,632.55"
231,5760881319215104,Cetirfi,"$1,360.94"
232,7.68384E+15,Hiwipec,"$1,158.87"
233,7255212389564416,Olahuhez,"$8,054.83"
234,1967951517319168,Dusuga,$530.22
235,3604647486947328,Basobwad,"$4,000.62"
236,3444297164652544,Gajojo,"$9,832.31"
237,9.0033E+15,Deromav,"$5,067.16"
238,1.189E+15,Lanpevde,"$6,697.99"
239,6723582816157696,Muovma,"$7,305.20"
240,4455540763656192,Zecjezkaw,"$6,244.84"
241,2749082279870464,Zevaro,"$8,147.76"
242,4927678601756672,Elaroho,"$4,982.01"
243,7701041734746112,Wuskasig,"$3,422.98"
244,8887525603016704,Uslale,$389.32
245,3262503639318528,Bisaodi,"$1,135.96"
246,5487465496313856,Umrepfuv,"$6,226.15"
247,6.45288E+15,Zosjidit,"$1,343.48"
248,3.94409E+15,Saaluse,"$2,003.39"
249,1775861732737024,Focoji,"$5,903.33"
250,6432221963485184,Rupuzaini,"$1,357.42"
251,5.11789E+15,Ruwiwri,"$4,595.68"
252,8399089991417856,Okawaho,"$3,060.21"
253,6493073301307392,Dopidro,$568.17
254,4835583568379904,Wujerha,"$6,448.87"
255,2959730318245888,Cudtinpul,"$8,057.99"
256,447593209397248,Fekkejbu,"$2,770.38"
257,6115224304222208,Waddone,"$4,173.03"
258,207162122960896,Juvuzder,"$9,673.62"
259,8762977037582336,Sepdoha,"$8,929.69"
260,7.21837E+15,Parafbit,"$2,078.83"
261,130737642668032,Fedimob,"$4,436.05"
262,2014193383374848,Ruvlewu,"$3,125.59"
263,3.83276E+15,Nadajaes,"$1,921.44"
264,407721635479552,Ifzotig,"$3,000.88"
265,8627445450145792,Jatzewje,"$6,613.01"
266,8794381821673472,Cujuluz,"$5,033.35"
267,832846893678592,Bagregul,"$4,867.85"
268,452708733550592,Nimones,"$8,599.75"
269,6459756923322368,Geomevu,"$6,042.73"
270,6611889234640896,Leljacok,"$6,201.90"
271,1025216738230272,Anulajwaj,"$9,866.24"
272,7078082747826176,Vevmawbe,"$2,687.74"
273,1524068836704256,Rezechas,"$4,703.39"
274,3378893719339008,Wovapbu,"$5,912.25"
275,820581469519872,Gogansuv,"$5,733.58"
276,2.10227E+15,Pidaso,"$6,226.83"
277,1310911411257344,Lemlavi,$952.57
278,2889844925661184,Liivno,"$5,298.29"
279,8679491628957696,Origevoc,"$8,716.51"
280,6.01047E+15,Kumovum,"$1,477.61"
281,428616131280896,Tasinwa,"$9,856.64"
282,1925601566916608,Zaizoaz,"$6,311.86"
283,302992559439872,Liikeju,"$6,445.77"
284,5847827951386624,Lanjopeva,"$8,083.28"
285,6391196096135168,Lowihvut,"$7,292.78"
286,8383509041250304,Kijkowa,"$2,520.47"
287,2007911102414848,Cuduhogud,"$2,210.12"
288,4810509597540352,Ihimiere,"$5,712.12"
289,5635392187400192,Jecromva,"$1,082.83"
290,8221232377888768,Bibbizem,"$4,262.34"
291,4002026014900224,Piricar,"$9,995.34"
292,4124418877947904,Pisoar,"$2,037.28"
293,5224375051616256,Pijfejgi,"$6,041.11"
294,8051437363789824,Rifiker,"$5,085.15"
295,4896546321596416,Murpowa,"$1,586.92"
296,5144015387230208,Apvuse,"$4,607.88"
297,8232436945125376,Jukezwib,"$3,795.85"
298,8614100722515968,Ijgolef,"$8,653.51"
299,4672608213663744,Jitrabli,"$8,573.23"
300,6832859838939136,Wungimet,"$9,615.15"
301,6498688912326656,Parsutis,"$3,014.24"
302,4359525626806272,Zujowle,"$1,878.81"
303,5874240941195264,Jozsimiga,"$6,334.46"
304,7558131175391232,Wevkefir,"$9,679.15"
305,4220453121949696,Josapicig,"$2,238.58"
306,2002612341702656,Kecajile,"$4,606.89"
307,4.48897E+15,Ozohapla,"$3,574.41"
308,416253248274432,Beweljur,$355.00
309,7.03817E+15,Gejsevnod,"$5,424.84"
310,7.47827E+15,Zurpalut,"$9,700.14"
311,6541839683289088,Leriize,$146.68
312,5137317763219456,Lodipele,$608.26
313,3287869489676288,Irrobwo,"$8,917.85"
314,4152664587763712,Fopsabjo,"$4,624.71"
315,7469020181692416,Ikzomag,$204.82
316,8385235106398208,Ukogugez,"$4,682.07"
317,8375021372178432,Ulkugsu,"$1,991.66"
318,8180177922162688,Devikje,"$2,072.99"
319,2684558008909824,Fiwiuz,"$9,078.40"
320,3194685245882368,Suraleudi,"$4,303.52"
321,4.80832E+15,Culsavot,"$6,044.81"
322,182166487040000,Binnispa,"$9,423.39"
323,8307330802253824,Huobaap,"$8,540.79"
324,3.80715E+15,Irzeji,"$5,746.61"
325,835460119134208,Orifatej,"$1,901.50"
326,2649501619716096,Biwunzaw,"$3,725.20"
327,1061611502567424,Tovfezjus,"$1,667.19"
328,3666486937780224,Avgagzol,"$3,069.88"
329,2.00625E+15,Ifajesam,"$5,535.64"
330,7279959041114112,Huthoer,"$1,277.46"
331,3246330050772992,Ceateri,"$9,057.66"
332,1329925514592256,Bibmoowa,"$5,263.45"
333,2087167771803648,Ifedaeb,"$8,113.70"
334,5.40081E+15,Gotbehah,"$4,305.37"
335,5.36797E+15,Neckencub,"$2,356.23"
336,5885192273133568,Fupveevu,"$6,722.16"
337,3.51144E+15,Gezuzpaw,"$7,457.61"
338,2539617641299968,Pewruni,"$7,263.59"
339,3484370029510656,Kanikwev,"$9,269.66"
340,4507201582399488,Ranerik,"$3,212.72"
341,5880707446472704,Horunaup,"$9,480.80"
342,4647984134356992,Ruukcel,"$5,002.04"
343,4868393278636032,Fosior,"$9,437.94"
344,6303814267174912,Dupogamac,"$2,654.98"
345,7170863036104704,Redohhu,"$6,270.96"
346,2753245233545216,Epfuhnu,"$7,921.19"
347,2262742496968704,Sofitodi,"$6,383.19"
348,3198138034683904,Asgudew,"$9,988.90"
349,3846329717489664,Caitta,"$5,372.80"
350,6.77614E+15,Gilike,"$2,818.13"
351,385169804492800,Usuwidol,"$9,456.22"
352,3300362379329536,Bocmilri,"$1,795.82"
353,8249222707019776,Kukukkoj,"$2,830.05"
354,5.09061E+15,Jozujuz,"$2,613.02"
355,7174513594728448,Nilrernoj,"$5,736.90"
356,2018574572978176,Kacawoab,"$8,896.26"
357,185240519704576,Fuzdanso,"$8,923.19"
358,8237776241688576,Locugpi,"$9,811.68"
359,5538177699807232,Cizozab,"$5,743.10"
360,3320453175181312,Sifzoza,"$6,934.94"
361,7.30957E+15,Icazedrel,"$2,613.35"
362,2288401613062144,Tompenal,"$6,297.97"
363,4.45736E+15,Wobzowpa,"$3,024.05"
364,1486469612961792,Coucufa,"$1,994.68"
365,155854108098560,Luprufle,$616.40
366,8478167811489792,Upduima,"$8,640.00"
367,1766214942588928,Dofavide,"$8,605.44"
368,3694224398614528,Cunusnev,$860.50
369,1160806269976576,Bokupkal,$416.01
370,4244930618720256,Cebiabu,"$5,776.77"
371,8328032443957248,Nicduhu,"$4,034.28"
372,5006725195235328,Azlewaf,"$5,560.53"
373,3196693870804992,Nufipov,"$5,392.19"
374,4375520017907712,Womudjud,"$9,635.46"
375,6.42461E+15,Tolbaren,"$1,657.48"
376,2.35596E+15,Piibinah,"$8,824.17"
377,5583583978717184,Bipatu,"$3,727.22"
378,2431516449701888,Unucovvi,"$2,338.68"
379,1922262353575936,Sizfewgi,"$4,462.77"
380,5128759109746688,Pufnujme,"$1,483.00"
381,8540824738463744,Isamojbu,"$4,511.85"
382,6.20074E+15,Pacorman,"$5,272.64"
383,940470857367552,Udiwitzih,"$4,067.28"
384,785022776770560,Atoobeza,"$2,046.48"
385,6396015202533376,Assacoz,$667.48
386,3058268133916672,Nifotas,"$1,640.70"
387,6862161676599296,Neruzdod,"$8,934.14"
388,7.70591E+15,Bibinfir,$908.57
389,3198197834973184,Ejbioti,"$6,666.73"
390,375203876044800,Voajudes,"$6,633.32"
391,20344865816576,Sazogajov,$27.07
392,6222053925453824,Feduvovu,"$8,052.08"
393,669881630457856,Kourasoz,$198.08
394,1.91151E+15,Bemudnu,"$9,118.43"
395,3.54739E+15,Nimdehveb,"$9,746.28"
396,6.81919E+15,Tevgarun,"$7,469.56"
397,346258315149312,Nuazmu,"$8,739.48"
398,7940875671830528,Tipegco,"$8,900.84"
399,5917427120472064,Jovtablar,"$2,286.61"
400,1569079760519168,Deivino,"$9,521.51"
401,7509827903291392,Totimow,$122.74
402,6907775154126848,Wikbisvo,"$2,488.08"
403,6993033987883008,Ipvagfik,"$5,694.03"
404,6.1827E+15,Musobe,"$1,285.63"
405,7181342001332224,Varkecih,"$4,769.24"
406,2.94181E+15,Povifav,"$3,960.50"
407,4064476630351872,Webewluf,$993.45
408,3.59212E+15,Janojiku,"$8,586.49"
409,6564979947864064,Kaibji,"$6,104.53"
410,5049156833902592,Nitfuwi,"$9,389.04"
411,3857779578109952,Gaozipas,"$8,758.60"
412,3011597601603584,Fakipiv,"$2,990.54"
413,8901959392165888,Osetelzi,"$8,437.71"
414,588598325805056,Weurozuc,"$4,770.42"
415,6850533304303616,Malfaazi,"$6,776.66"
416,2009503585271808,Amkelwo,"$7,450.65"
417,4948880288382976,Duewahu,"$8,533.90"
418,4.79707E+15,Isihite,"$6,155.97"
419,5920518247022592,Huofce,"$7,082.09"
420,2696457782034432,Ugrefa,"$6,608.67"
421,8593432658313216,Tilofos,"$5,459.55"
422,6643894995386368,Ovufogpe,"$7,585.93"
423,4.09998E+15,Lugapu,"$5,251.38"
424,7.51877E+15,Ciwofzum,"$5,258.40"
425,6878397137420288,Kocapzit,$725.64
426,791163768406016,Acfipoc,"$9,140.14"
427,4266164867825664,Ibeniku,"$3,412.57"
428,754208963821568,Ollipig,"$9,303.88"
429,1769322479353856,Fowitsac,"$6,071.77"
430,2915347755696128,Dobtilve,"$4,579.86"
431,8654665784754176,Duovahi,"$6,912.44"
432,4595958501343232,Vijbetse,"$6,115.65"
433,8339758770028544,Erriuz,"$9,344.07"
434,2724929392869376,Wesezadij,"$7,248.73"
435,2366027027447808,Sofavzej,"$9,997.50"
436,2035606997696512,Cakilan,"$3,222.88"
437,8091793308516352,Gaicihok,"$8,004.30"
438,4988173834780672,Cetarup,"$5,271.26"
439,5.65011E+15,Ciipuze,"$6,832.21"
440,4887463656947712,Tokobaj,$736.15
441,5379106619260928,Cenzudhom,"$2,898.50"
442,2546110482612224,Cujraced,"$5,139.49"
443,2.12015E+15,Jidiwe,"$4,807.90"
444,6137987379232768,Zujoave,"$4,296.69"
445,2513823265193984,Vupihun,"$6,704.38"
446,1438508256329728,Mokamvi,"$4,143.63"
447,1237249354104832,Ujonopod,"$6,019.89"
448,4881954327494656,Pibafur,"$2,460.45"
449,4865998278623232,Vodwelfe,$794.59
450,1.81013E+15,Winihpu,"$8,304.48"
451,8752132381474816,Huvlotdul,"$2,921.23"
452,551885016662016,Tuhegim,"$8,990.54"
453,6536310286188544,Inoronu,"$3,458.63"
454,3406400078217216,Kozevibuf,"$3,035.37"
455,8039075153969152,Kuodivod,"$6,651.59"
456,6227343129444352,Povuhkan,"$8,710.42"
457,2981191519043584,Mezuhle,"$1,804.95"
458,2372880987848704,Citjole,"$4,409.75"
459,6432331019583488,Opfubkot,"$5,027.46"
460,4354991867297792,Wuhidomum,"$6,749.12"
461,7529588569669632,Arijospa,"$8,975.12"
462,5023707017773056,Kutnoom,"$1,907.83"
463,7.38867E+15,Jafsezam,"$3,289.04"
464,8023256955092992,Apejres,"$2,271.12"
465,1870772182188032,Omtumo,"$6,804.41"
466,8202168708366336,Nukkizbob,"$4,713.88"
467,7757416997322752,Gemnahzu,"$7,560.90"
468,2.64917E+15,Doacze,"$3,159.06"
469,6.85135E+15,Zesodor,"$9,120.47"
470,5603283261456384,Owhujjob,"$8,166.83"
471,4332968248082432,Mimabe,$94.67
472,8060184509284352,Lahzimna,"$6,300.21"
473,3107366365036544,Atezvun,"$9,975.10"
474,8765113928515584,Egihuri,"$9,270.67"
475,524867308879872,Solapbo,"$6,176.14"
476,1119995660599296,Omogupce,$156.65
477,2.62433E+15,Kehonod,"$1,525.43"
478,727829849309184,Kupodel,"$4,911.89"
479,6290478928494592,Ocwakej,"$8,064.47"
480,4.92587E+15,Finoen,"$4,384.51"
481,3035010728722432,Wuondam,$566.05
482,4089345870921728,Ahunojiw,"$8,544.87"
483,3712070751092736,Lidewa,"$2,786.68"
484,8952232653357056,Agdenel,"$1,736.08"
485,5.21674E+15,Eknasit,"$1,819.14"
486,5.10086E+15,Fupimom,"$4,490.24"
487,6600654782988288,Loudada,"$6,745.54"
488,2950745301188608,Nozlino,"$2,597.34"
489,1.69804E+15,Sirbian,$276.44
490,6411660298289152,Enoegco,"$7,247.90"
491,7080232894857216,Ferhove,"$3,395.99"
492,459286838771712,Fabiibu,"$3,752.92"
493,7308592036184064,Biumipam,"$9,133.60"
494,3985612942082048,Kucvuse,"$2,229.33"
495,8924274668601344,Jelige,"$6,886.51"
496,2605791276171264,Caobkak,"$2,278.86"
497,6489907174309888,Sosopidu,"$2,282.38"
498,4.00847E+15,Zohedowag,"$9,320.35"
499,6298426673201152,Jojvurnav,"$3,374.14"
500,4602609872666624,Dafizuki,"$2,048.78"
501,1307482181861376,Ajezibgi,"$1,252.37"
502,2.80498E+15,Ukupoor,"$7,752.08"
503,6986289903566848,Fokjiggil,"$1,133.56"
504,6430765740982272,Kavgehsu,"$2,760.52"
505,7342845891444736,Pihegefew,"$7,470.41"
506,8943300524376064,Zofhagtof,"$9,114.22"
507,2398204358295552,Fawcecdid,"$7,930.51"
508,1783560306425856,Pajewo,"$8,272.40"
509,4325827426648064,Becgoni,"$6,481.80"
510,8279901020880896,Jazizes,"$4,479.47"
511,4075263086297088,Vakima,"$8,626.59"
512,748906839277568,Orupnu,"$8,181.89"
513,8532794986725376,Gizanne,"$1,919.98"
514,6.0118E+15,Dehouv,"$8,996.97"
515,2138357226274816,Kokpabi,"$5,583.50"
516,7434874401062912,Ircismo,"$3,917.86"
517,521650839748608,Tirfokhud,"$6,191.92"
518,5490388475314176,Seanpol,"$2,959.79"
519,345599480168448,Sowvafmi,$255.95
520,8.29512E+15,Gansato,"$5,296.69"
521,5504646579748864,Kebmopzef,"$7,573.60"
522,484866680422400,Depsumhe,"$1,847.89"
523,766061869793280,Zazlimcot,"$3,373.68"
524,395989257027584,Buhafpez,"$5,371.91"
525,8173609711304704,Urifutnak,"$7,477.06"
526,4071464418410496,Guclokzom,"$7,662.36"
527,1321571750772736,Pumeku,"$8,010.51"
528,3.42475E+15,Waoneiro,"$4,787.99"
529,1601933978632192,Saromutac,"$1,288.52"
530,8934411120672768,Vogkofur,"$4,235.24"
531,2.31786E+15,Zunuho,"$4,151.44"
532,7005692479143936,Gudeme,$346.74
533,2619155836567552,Vepfoca,"$3,984.25"
534,7553107443580928,Wujisu,$35.27
535,8.90989E+15,Jejogi,"$6,926.03"
536,247231342968832,Ofemavsa,"$5,011.43"
537,4308419156639744,Kiozno,"$9,845.54"
538,6647348543356928,Fucmejat,"$3,446.34"
539,3276480756842496,Turiggaw,"$6,329.95"
540,2389454018838528,Awekeka,"$3,738.91"
541,4.92847E+15,Etuipvu,"$2,506.15"
542,5650597401329664,Vedemda,"$2,977.87"
543,5792533107965952,Jarovruv,"$2,490.15"
544,2.91826E+15,Vavirile,"$6,614.29"
545,2410987206475776,Liwahiv,"$4,731.13"
546,4707737019613184,Pocacur,"$5,395.74"
547,4838809837502464,Wupjimi,"$3,949.32"
548,8945111576608768,Zojhefoc,"$4,241.01"
549,3504114640093184,Wesjigap,"$3,634.02"
550,4371312745119744,Sumamsik,"$5,742.19"
551,6673823141199872,Ogekahdut,"$9,737.54"
552,2.45406E+15,Ibsini,"$4,273.20"
553,7.37169E+15,Mafacfun,"$2,050.00"
554,3318193403723776,Hupucwe,"$4,823.32"
555,2790874578681856,Luzlubip,"$5,216.00"
556,1522091828445184,Pivseloki,"$4,355.41"
557,2946979369844736,Gejzukka,"$8,622.93"
558,6214510935277568,Upkami,$662.55
559,1000066171011072,Pimiawa,"$8,489.44"
560,8298410018865152,Pacituba,"$7,541.05"
561,1432816422223872,Gigengih,"$2,809.48"
562,8738609064574976,Curule,$392.62
563,5549485428047872,Hicohjid,"$4,756.51"
564,7935813014781952,Ejvado,$457.58
565,4.19774E+15,Sucziig,"$8,726.72"
566,7930564478763008,Desewsu,"$6,873.34"
567,4.85105E+15,Sofzodiw,"$4,627.05"
568,684395295932416,Hewvurof,"$1,996.35"
569,6765175424155648,Porpopa,"$7,888.22"
570,562523644362752,Aleicoc,"$1,047.73"
571,3803208793194496,Jiabad,"$4,278.38"
572,4722869003091968,Leabbin,"$8,476.23"
